transaction_id,user_id,amount,category,transaction_date
txn_100000,user_40,111.26,travel,2025-04-20
txn_100001,user_74,364.43,electronics,2025-06-06
txn_100002,user_14,358.62,dining,2025-04-27
txn_100003,user_34,71.18,utilities,2025-07-01
txn_100004,user_27,461.34,groceries,2025-05-27
txn_100005,user_32,73.21,utilities,2025-05-27
txn_100006,user_8,269.27,fuel,2025-06-05
txn_100007,user_29,414.1,dining,2025-04-28
txn_100008,user_35,94.56,dining,2025-06-29
txn_100009,user_75,365.47,utilities,2025-07-01
txn_100010,user_59,348.06,clothing,2025-06-19
txn_100011,user_81,386.8,fuel,2025-05-22
txn_100012,user_40,460.29,clothing,2025-05-26
txn_100013,user_70,174.91,utilities,2025-04-20
txn_100014,user_10,104.16,clothing,2025-04-15
txn_100015,user_95,368.36,fuel,2025-06-08
txn_100016,user_13,105.74,electronics,2025-05-11
txn_100017,user_95,469.26,fuel,2025-05-17
txn_100018,user_16,289.11,groceries,2025-06-10
txn_100019,user_80,276.2,clothing,2025-04-25
txn_100020,user_63,47.8,electronics,2025-06-04
txn_100021,user_38,145.52,dining,2025-06-18
txn_100022,user_51,496.59,dining,2025-05-16
txn_100023,user_84,401.95,utilities,2025-04-26
txn_100024,user_75,341.07,groceries,2025-04-19
txn_100025,user_72,14.21,travel,2025-04-24
txn_100026,user_33,66.15,groceries,2025-04-25
txn_100027,user_65,379.63,fuel,2025-06-24
txn_100028,user_40,85.34,fuel,2025-05-09
txn_100029,user_40,257.99,electronics,2025-06-12
txn_100030,user_92,411.82,dining,2025-04-13
txn_100031,user_82,389.64,fuel,2025-04-16
txn_100032,user_80,414.36,clothing,2025-05-14
txn_100033,user_40,387.5,utilities,2025-05-04
txn_100034,user_14,258.37,groceries,2025-04-04
txn_100035,user_39,479.86,travel,2025-05-06
txn_100036,user_57,485.14,entertainment,2025-04-22
txn_100037,user_98,101.26,entertainment,2025-05-20
txn_100038,user_45,244.2,electronics,2025-04-12
txn_100039,user_78,496.26,fuel,2025-05-27
txn_100040,user_12,106.03,electronics,2025-05-17
txn_100041,user_89,53.11,fuel,2025-05-08
txn_100042,user_32,473.32,entertainment,2025-05-06
txn_100043,user_22,82.55,utilities,2025-05-05
txn_100044,user_25,116.1,groceries,2025-04-29
txn_100045,user_74,372.65,travel,2025-04-28
txn_100046,user_6,457.2,clothing,2025-04-14
txn_100047,user_52,271.12,travel,2025-04-10
txn_100048,user_9,137.85,utilities,2025-05-28
txn_100049,user_89,355.37,dining,2025-04-14
txn_100050,user_1,179.37,entertainment,2025-04-20
txn_100051,user_5,484.53,travel,2025-05-16
txn_100052,user_57,200.05,travel,2025-06-28
txn_100053,user_46,9.0,electronics,2025-05-13
txn_100054,user_28,60.06,travel,2025-06-25
txn_100055,user_100,86.16,dining,2025-06-22
txn_100056,user_28,378.1,travel,2025-06-11
txn_100057,user_19,139.84,fuel,2025-06-26
txn_100058,user_27,307.41,electronics,2025-04-13
txn_100059,user_42,142.86,dining,2025-06-16
txn_100060,user_89,284.56,fuel,2025-04-15
txn_100061,user_98,423.76,groceries,2025-04-16
txn_100062,user_75,202.68,utilities,2025-05-29
txn_100063,user_55,493.96,clothing,2025-05-31
txn_100064,user_45,421.63,electronics,2025-05-05
